[lausanne#bar]
café du Lys#6.137843#46.19705##Café, Restaurant|Bar
la Gioconda#6.106024#46.225568##Café, Restaurant|Pizzeria|Bar
MAMBO#6.145596#46.211534#Hugo De Dous#Bar|Discothèque
Minimax#6.145386#46.207834#Geneva Concept Sarl#Café, Restaurant|Bar
Funky Monkey Room#6.135709#46.203359#Aziza Nizar#Bar|Café, Restaurant
Boléro Bistro#6.165475#46.280729##Café, Restaurant|Bar
Le Green Café#6.13855#46.196725##Café, Restaurant|Crêperie|Bar
Timothy Oulton Lounge#6.146942#46.203956##Lounge|Bar|Café, Restaurant
ITALIAN PUB#6.131704#46.200191##Bar|Café, Restaurant
Blue HTAG#6.142117#46.197108##Bar
le Pénitencier#6.111922#46.196325#Osvaldo Cortez#Dancing|Bar|Discothèque|Club
Le Baroque#6.14751#46.204034##Café, Restaurant|Bar|Cuisine italienne|Restaurants par spécialité
Cactus Club#6.144485#46.209209##Bar
Leopard#6.150525#46.209683##Bar
EPIC Restaurant#6.104574#46.168438##Café, Restaurant|Bar|Traiteur
Café Cuba#6.139731#46.201525##Café, Restaurant|Bar
Beef & Chill#6.194112#46.350989#Gastropub Sàrl#Café, Restaurant|Bar
Ariston#6.150684#46.202991#Barbaro Luigi#Café, Restaurant|Bar
Le Nobel#6.148442#46.207914##Bar
Little Barrel#6.157679#46.204177#NBGB SARL#Bar|Spiritueux
La Suite 115#6.159823#46.20502##Café, Restaurant|Bar
la Coupole#6.154515#46.202603##Café, Restaurant|Bar|Cuisine française|Restaurants par spécialité|Cuisine italienne
Chez Fouad#6.157746#46.202433##Bar|Brasserie|Café, Restaurant|Café
l'Eléphant dans la Canette#6.139241#46.197624##Café, Restaurant|Bar
Il Ritrovo#6.138621#46.200801##Bar|Café, Restaurant|Pizzeria|Cuisine italienne|Restaurants par spécialité
Le Philanthrope#6.144464#46.197009##Café, Restaurant|Bar
Aquarium Bar Café#6.129617#46.201309##Bar|Café, Restaurant|Karaoke
Le Mess#6.134291#46.188471##Café, Restaurant|Bar
Le York#6.145444#46.207574#C. Da Cunha Lopes#Café, Restaurant|Bar
la Broche#6.137359#46.203198##Café, Restaurant|Bar
Au Phil du Temps#6.144886#46.205435##Café, Restaurant|Bar|Lounge
Arthur's#6.144049#46.204112##Bar|Café, Restaurant
Au Coin du Bar#6.156414#46.202876##Bar|Vinothèque|Café, Restaurant
Boulevard du Vin#6.130951#46.201334##Café, Restaurant|Bar|Commerce de Vin
Britannia Pub#6.142977#46.208868##Café, Restaurant|Pub|Bar
Fizz#6.14049#46.203945##Bar|Café, Restaurant
Floor Two#6.150743#46.209784##Bar|Café, Restaurant
l'Ethno Bar#6.131082#46.202325#Lambelet Yves#Bar|Café, Restaurant
l'Imprévu#6.142008#46.183738##Café, Restaurant|Bar
Le Calamar#6.139825#46.195975##Café, Restaurant|Bar
Le Liban#6.129779#46.201041#Barokel SA#Café, Restaurant|Take Away|Bar|Cuisine orientale|Restaurants par spécialité
Le Rouge et le Blanc#6.145585#46.206532##Traiteur|Café, Restaurant|Bar
Le ZN#6.14324#46.198902##Café, Restaurant|Bar|Brasserie|Cuisine française|Restaurants par spécialité
Rendez-vous des Amis#6.151598#46.202705##Café, Restaurant|Bar
Riverside#6.145696#46.204589##Café, Restaurant|Bar
TIME RESTO LOUNGE#6.144217#46.203052#Anciennement Les Salons de Théophile Sàrl#Bar|Café, Restaurant
Yvette de Marseille#6.158492#46.203206##Café, Restaurant|Bar
19ème#6.140549#46.184081##Bar
America#6.145#46.21042##Bar|Billard|Internet
Atelier Gusto#6.151903#46.2035##Bar|Café, Restaurant
Le Cheval Blanc#6.140297#46.187595##Concert|Bar|Café, Restaurant
B.B.A#6.138111#46.209118#Khennouf Mohamed#Bar
BARBERSHOP#6.132471#46.201171#Perona Marc et Prigent Kevin#Bar
Billard Américain#6.148196#46.216665#Sphère Elvis#Billard|Bar
Boléro#6.146586#46.210754##Bar
Charlie Bar#6.158943#46.20331#Krasnici Jasna#Bar|Sushi
Chez Moi-Tapas Nocturnes#6.15711#46.200806##Café, Restaurant|Bar
Clubhouse#6.150098#46.210749##Bar|Café, Restaurant|Pub
Cocody Bar#6.148849#46.212606##Bar
Concorde#6.144188#46.208603##Café, Restaurant|Bar
Confidences Bar#6.131393#46.224982##Bar
Crossroads Pub#6.160322#46.203074##Salon de jeux|Bar
DS17#6.078293#46.237086##Pub|Bar
FMR#6.135709#46.203359#Aziza Nizar#Bar|Café, Restaurant
Fruitavit#6.145109#46.191124##Bar|Café, Restaurant|Crêperie
Gate 20#6.099607#46.223998#Mövenpick Hotel & Casino Geneva#Bar
Glow Bar#6.151712#46.214303##Bar
Golden VIP#6.1471#46.2104##Bar|Café, Restaurant|Cabaret
Grand Duke Pub#6.149358#46.210281#Dogan Hasan#Bar|Café, Restaurant|Pub
Hang Out#6.14652#46.211365##Bar
KATREPICES#6.140474#46.202973#Vuillermet Joffrey#Ecole de cuisine cours de cuisine|Bar
Kytaly-Genève#6.132096#46.20114##Café, Restaurant|Bar|Epicerie|Take Away|Cuisine italienne
L'Apothicaire#6.133001#46.201195##Events|Bar|Organisation de fêtes
L'atelier#6.158545#46.20318##Bar
L'Escalier#6.156295#46.20131#Yves Lindt#Bar|Café, Restaurant
L'Estaminet#6.137467#46.20355##Bar
L'Quai#6.135582#46.205445##Café, Restaurant|Bar
La Citadelle#6.146368#46.19596##Bar
la Forge#6.141989#46.18506##Bar
la Sirène#6.144516#46.210073##Bar
LA TOUR DU MOLARD#6.147979#46.20395##Bar|Vinothèque
Lady Godiva Pub#6.140994#46.194198##Bar
Le Richemond#6.148869#46.209034##Bar
Le Blanc Rhino SA#6.144599#46.190803##Café, Restaurant|Bar
Le Box#6.140297#46.187595##Bar|Concert
Le Candide#6.137635#46.207889##Bar|Café, Restaurant
Le Comptoir#6.14751#46.214408##Sushi|Cuisine japonaise|Restaurants par spécialité|Cuisine chinoise|Lounge
le Déclic#6.142149#46.195228#Urscheler Stéphane#Café, Restaurant|Bar
Le Fairplay#6.143771#46.196722##Bar|Café, Restaurant
le Florentin#6.15605#46.201271##Café, Restaurant|Bar
Le Garage#6.159197#46.20352##Bar
Le P'tit Loup Bar#6.107461#46.22509#Emery & Lavanchy#Bar
LE PACIFIC#6.204607#46.192384##Bar
Le Paragraphe#6.131667#46.20118##Café, Restaurant|Bar
Le Poids Public#6.141014#46.185759##Bar
Le Vintage#6.143651#46.195263##Bar
les Caraïbes#6.148328#46.21##Bar|Café, Restaurant
Les Twins Café#6.140785#46.195383##Bar|Café, Restaurant
Les Vins d'Urbain#6.143095#46.206089##Bar
Lola Bar#6.14751#46.214408##Lounge|Bar
Marchand de Sable#6.142338#46.185658#Ador Pierre-Louis et Preziuso Jeremy#Café, Restaurant|Bar
Marius#6.144664#46.191325##Bar
MObar#6.141511#46.205675##Bar
N'vY#6.148627#46.215401##Bar
Nord#6.140507#46.18094#Pellaz Francis#Café, Restaurant|Bar
oleowine & Art#6.12529#46.214691##Commerce de Vin|Bar|Café, Restaurant|Galerie d'art
One St. Gervais#6.142739#46.205797#JBP Gourmet Sàrl#Bar|Café, Restaurant
Orangerie#6.154607#46.200931##Bar|Cuisine française|Restaurants par spécialité
Pickwick Pub#6.148196#46.216665##Café, Restaurant|Bar|Lounge
Pool Bar#6.151712#46.214303##Bar
Poya'bar#6.143081#46.189265##Bar|Café, Restaurant
Les Cherpines#6.104166#46.174506##Football-Club|Café, Restaurant|Bar
Roi Ubu#6.146208#46.201572#Pascual Jacques et Sonja#Bar
Sensi Cabaret#6.14544#46.211001##Night Club|Discothèque|Bar|Cabaret
The Mag's Bar#6.156695#46.200837##Bar
The Mirror Bar#6.151903#46.2035##Bar
Topper's#6.156747#46.201945#Frederic Orso#Café, Restaurant|Bar
Tsar#6.14768#46.21163##Bar|Café, Restaurant
Vigne-Blanche#6.140712#46.256534##Café, Restaurant|Bar|Events
Willi's#6.144333#46.208505##Café, Restaurant|Bar
Wing's#6.137813#46.191786##Lounge|Bar|Café, Restaurant
Zhong Tong#6.144668#46.206971##Café, Restaurant|Cuisine vietnamienne|Restaurants par spécialité|Cuisine chinoise|Bar
Zoé live Bar#6.156209#46.198925#AGINULFO SA#Bar
Point Bar Club#6.146202#46.20348##Discothèque|Dancing|Cabaret
Le Queen Victoria#6.137017#46.189852##Café, Restaurant
Wasabi Sushi Bento Bar#6.143387#46.209052##Café, Restaurant|Cuisine japonaise|Restaurants par spécialité|Sushi
Moulin Rouge#6.140004#46.200952##Discothèque|Cabaret|Dancing
Bar des Ailes#6.105779#46.225502##Café, Restaurant
Barbablù Gelateria#6.142536#46.197464#Onnis Maurizio#Glaces|Bar à café
Le Fix#6.14713#46.219514#Guillaume Chabry#Bar à café|Take Away|Café, Restaurant
Bar Café 22#6.145827#46.201802##Café, Restaurant
Café de la Mairie#6.158637#46.202551#da Silva Castro#Café, Restaurant
Festival-Bar#6.138885#46.202217##Café, Restaurant
LE KRAKEN Bar#6.138341#46.197352##Café, Restaurant
New Navy Bar#6.148466#46.199808##Café, Restaurant|Pizzeria
Wasabi Sushi Bento Bar#6.111264#46.187186##Cuisine japonaise|Restaurants par spécialité|Café, Restaurant|Sushi
Le Bois d'Ebène#6.137814#46.19014#Palazzi Georges et Marie#Café, Restaurant
Blues Bar#6.20361#46.192904##Café, Restaurant
Buffet Express#6.146062#46.208273#Fatima Velluz#Bar à café
Prunier Sea Food Bar#6.106618#46.230388##Café, Restaurant
Cécill's Bar#6.142187#46.19414#Ozgem Cemal#Café, Restaurant
Copper's Lounge Bar#6.137672#46.197129#De Jesus André#Café, Restaurant
Le Cosmic#6.138015#46.196872##
Harry's Bar#6.14621#46.197695##
In Fine#6.149185#46.200635##Café, Restaurant
JOS WINE BAR#6.105198#46.214312##
L'excuse#6.130993#46.201172#De Felice Patrizia#Café, Restaurant
Le 23ème Lieu#6.161204#46.20195##Coiffure|Bar à café
Le Bar#6.106618#46.230388##Café, Restaurant
Le Pacific bar#6.117226#46.175344#da Costa Casal Ana Isabel#
Le Prêt-à-Manger des Augustins#6.143825#46.192269##Bar à café
le Renversé bar à café#6.143146#46.18869#Coupat Jean-Yves#Café, Restaurant
Les Lilas#6.130961#46.21168#Girod Olivier et Gilberte#Café, Restaurant|Bar à café
Morena Bar#6.126655#46.208589##Café, Restaurant
Ristretti#6.127896#46.179166##Bar à café
Ristretti#6.201534#46.192503##Bar à café
Tip-Top#6.14601#46.214283#Amela Janine#Café, Restaurant|Bar à café
Wasabi Sushi Bento Bar#6.11395#46.220533##Café, Restaurant|Cuisine japonaise|Restaurants par spécialité|Sushi
Marifah Thaï Restaurant#6.069451#46.226749#Malifah Sàrl#Café, Restaurant|Cuisine thaï|Restaurants par spécialité
Auberge du Lion d'Or#6.180537#46.216445#Byrne Thomas et Dupont Gilles#Café, Restaurant|Traiteur réceptions à domicile
Les Curiades#6.072465#46.163555##Café, Restaurant
Kyo Sushi#6.132078#46.215355##Café, Restaurant|Sushi|Take Away|Cuisine japonaise|Restaurants par spécialité
Le Restaurant de Philomène#6.191903#46.19497##Café, Restaurant
Nirvana#6.059749#46.232083##Café, Restaurant|Cuisine indienne|Restaurants par spécialité|Traiteur|Take Away
Soup Up#6.146949#46.208032##Café, Restaurant
Un R de Famille#6.146589#46.194802##Café, Restaurant|Location
Windows restaurant#6.150525#46.209683##Tea-Room|Café, Restaurant
Windsor#6.145982#46.210558##Hôtel
Auberge Port Gitana#6.153994#46.253771##Café, Restaurant|Hôtel
Cheval-Blanc#6.20255#46.221907#Erbeia Sébastien#Cuisine italienne|Restaurants par spécialité|Mariage|Séminaire|Banquet
Café de la Presse#6.138079#46.201254##Take Away|Traiteur|Café, Restaurant
Le Montbrillant#6.141836#46.211059#Decurtins Reto#Café, Restaurant|Hôtel|Pizzeria
Le Réservoir#6.138079#46.201254##Café, Restaurant
Auberge du grand Donzel#6.16409#46.17223##Café, Restaurant|Auberge|Events
Baroush#6.155483#46.201138##Café, Restaurant|Cuisine orientale|Restaurants par spécialité
Café de Peney#6.044586#46.200542#Gaudin Alain#Café, Restaurant
La Navigation#6.149483#46.212127##Café, Restaurant
La Bricole#6.108614#46.186956##Café, Restaurant|Cuisine française|Restaurants par spécialité
Chez Philippe#6.145027#46.204402#Philippe Chevrier#Café, Restaurant
Côté Lac#6.150664#46.211475##Café, Restaurant
Côté Square#6.146988#46.207483##Café, Restaurant|Cuisine française|Restaurants par spécialité
Kempinski#6.150743#46.209784##Hôtel
Grutli#6.141608#46.20107##Café, Restaurant|Cuisine végétarienne|Restaurants par spécialité
L'Auberge#6.146581#46.243169##Café, Restaurant
La Caravane Passe#6.148408#46.209911#Natal Isabelle#Traiteur|Café, Restaurant
La Maison Rouge#6.135031#46.188929##Café, Restaurant
La Transmontana#6.146244#46.212072##Café, Restaurant|Cuisine espagnole|Restaurants par spécialité
le Cadran Solaire#6.143039#46.260672##Café, Restaurant
Le Patio#6.154219#46.200881#Baba au Rhum SA#Café, Restaurant
Manana#6.144753#46.209365##Cuisine mexicaine|Restaurants par spécialité|Café, Restaurant
Mandarin Oriental#6.141511#46.205675##Hôtel
Moderne#6.143946#46.20842#Mano Sàrl#Hôtel
Muller's Factory#6.139533#46.201145##Crêperie|Gelateria|Café, Restaurant
Piatto d'Oro#6.080871#46.225745#De Nuccio Marcello#Cuisine italienne|Restaurants par spécialité|Café, Restaurant|Pizzeria
Le Repère#6.15493#46.296499##Café, Restaurant
Les Savoises#6.138396#46.201015##Café, Restaurant
Pied de Cochon#6.149233#46.200797##Café, Restaurant|Brasserie
Sajna#6.146008#46.211098##Café, Restaurant|Cuisine indienne|Restaurants par spécialité
American Dream Diner#6.145672#46.211067##Café, Restaurant
Brasserie la Bourse#6.140955#46.183905#Capon Daniel#Café, Restaurant
Cave Valaisanne#6.140731#46.200898#Dumoulin Julia#Café, Restaurant|Brasserie
La Romana#6.137191#46.218851##Café, Restaurant|Pizzeria
Le Petit Lac#6.211566#46.266368##Café, Restaurant
Leo's#6.141055#46.194343#Leo Michele#Café, Restaurant|Pizzeria
Côté Cour Côté Jardin#6.157654#46.20137##Café, Restaurant|Banquet|Organisation d'événements|Events|Mariage
Seventy5#6.106607#46.225035##Café, Restaurant
Téséo#6.144364#46.211007##Café, Restaurant
Yukiguni#6.139835#46.206376##Take Away|Cuisine japonaise|Restaurants par spécialité
Corail Rose#6.141694#46.211561##Café, Restaurant
Dorian#6.142729#46.200237#Le Dorian SA#Café, Restaurant
La Meyrinoise#6.072521#46.228388##Café, Restaurant|Pizzeria
Wasabi#6.154977#46.201718##Sushi|Cuisine japonaise|Restaurants par spécialité|Café, Restaurant
Aviation#6.094364#46.222658#Baumann Gérard#Café, Restaurant|Hôtel
Café des Banques#6.140614#46.201967#Flores Gregory#Café, Restaurant
Café l'Escalin#6.138022#46.18684##Café, Restaurant|Tea-Room|Sandwicherie
Chausse-Coqs#6.147502#46.194579#Chirat Marc#Café, Restaurant
Chez La Voisine#6.158041#46.204757##Café, Restaurant
Da Paolo#6.157096#46.20472##Café, Restaurant
la Ferme#6.098907#46.182937##Café, Restaurant|Pizzeria
le Nyamuk#6.137969#46.200992##Café, Restaurant
